

Celechovice na Hane 1220
Cechtin 300
Zelec 791
Kraselov 229
Nebilovy 319
Tene 230
Kamenicky 775
Smolnice 371
Horni Smrcne 57
Kostelni Myslova 64
Kaliste 334
Divisov 1367
Vysoke Popovice 602
Strelske Hostice 876
Trebesov 232
Belec 317
Davle 1176
Lesonice 490
Resice 356
Rejchartice 185
Haje 242
Podevousy 251

Milevsko 9343
Lisky 71
Hurky 175
Daleke Dusniky 392
Nekor 856
Zelezne 324
Novosedly nad Nezarkou 640
Starnov 576
Novy Kostel 533
Otinoves 294
Zernov 222
Blazejovice 97
Stichovice 118
Chvalkovice 647

Lomnice nad Popelkou 5957

Bela pod Bezdezem 4855
Libesice 1401
Puklice 746
Berovice 300
Kamenne Zehrovice 1606
Rovecne 644
Vavrinec 838
Kolova 622
Kurimska Nova Ves 123
Uhrinov 269
Jindrichovice 439
Hrivice 593
Jezdovice 253
Rybna nad Zdobnici 440
Cerna u Bohdance 261
Merboltice 124

Mesto 3013
Hrimezdice 394

Hradek 2897
Mlekosrby 229
Levin 104
Oselin 126
Hostice 176
Chotovice 175
Sucha Lhota 88
Vsesulov 101
Stare Sedlo 760
Holedec 486
Predslavice 235
Unkovice 642
Kovan 135
Vojnikov 66
Strunkovice nad Volynkou 101
Kout na Sumave 1140
Ususi 111
Slatina nad Upou 279

Sobeslav 7308
Dobrohost 47
Sobenov 297
Stasov 362
Zastrizly 133
Stare Briste 48
Vojnuv Mestec 720
Stojcin 121
Kosin 61
Vestin 185
Nova Ves u Jarosova 63
Sounov 115
Nove Lublice 204

Ceske Velenice 3479
Tichonice 200
Libenice 257

Slavonice 2706
Sebranice 870

Zirovnice 3085
Zdobnice 151
Prerubenice 64
Lhanice 151
Pruhonice 2007
Lhotice 151
Albrechtice nad Vltavou 822
Pikarec 306
Becice 104
Nechvalice 602
Bile Policany 154
Kurimany 25
Nyrov 209
Naloucany 154

Plana nad Luznici 3128
Klucenice 490
Vicemerice 520

Kamenice 3011

Horomerice 2212

Beroun 17550
Cerniky 95
Krnany 341

Kryry 2431
Chrastavec 252
Ohrobec 703
Hrdliv 385
Liborice 335
Ritonice 81
Krepenice 160
Krabcice 888
Dolni Habartice 552
Horni Ves 345
Kostelni Hlavno 429
Straziste 86
Ustin 353
Kanina 39

Kamenicky Senov 3982
Kacanovy 174
Racice 312
Bacalky 165
Lhotky 132
Dusniky 310
Sovinky 323
Vitin 264
Krinec 1351
Drisy 746
Kourim 1772
Kostelec u Krizku 436
Hostomice 1491
Holenice 78
Struznice 856
Roudnice 536
Libotenice 405
Chynice 278
Mala Losenice 279
Veznice 149
Senicka 334

Brtnice 3744
Breznik 635
Brusne 369
Dobrcice 191
Obora 444
Rasov 216
Paseky 141
Tesetice 1212
Lestinka 141

Usti nad Orlici 15151
Chorusice 458
Rajnochovice 495
Batnovice 687
Basnice 205
Svabenice 936

Hejnice 2751
Jabkenice 353
Zeleznice 1094
Velka Skrovnice 287
Strenice 174
Bobnice 747
Kbelnice 143
Lustenice 1447
Mysteves 177

Hermanuv Mestec 4841
Jestrabi Lhota 366
Bestvina 508

Opatovice nad Labem 2218

Rychnov nad Kneznou 11695
Nove Sady 191
Skvrnov 158

Vrchlabi 12898
Orech 685
Trebom 213
Horenice 169
Horni Branna 1798
Horusice 193
Horni Paseka 67
Horousany 478
Uhorilka 47
Karizek 39
Brandysek 1679

Jesenice 3221
Studnice 988
Drahenice 180
Osecnice 286
Chocenice 523
Letonice 1419
Stribrnice 414
Radnice 1749
Chrustenice 659
Stradonice 98
Dolni Hradiste 37
Radonice 1190
Hromnice 1018
Chudenice 699
Zermanice 235
Mechenice 588

Strakonice 23545
Krajnicko 91
Zlunice 261
Lounova 66
Urbanov 124

Kraluv Dvur 5805
Zlutava 1001
Mecholupy 1026
Neustupov 516

Stochov 5538
Libocany 510
Lochousice 116
Tuchomerice 1032
Chodouny 628
Brodec 62
Pocedelice 273
Dolni Libochova 154
Kostelni Vydri 152
Postrelmuvek 356
Prostejovicky 276
Nemojov 506
Senec 228

Sedlcany 7836
Podluhy 610
Zaluzice 66
Ceska Briza 431
Nova Ves u Bakova 232
Lukavec u Horic 251
Libodrice 268

Spalene Porici 2529
Hospriz 375
Probulov 52
Budyne 40
Dubicne 307
Husinec 1339
Hradesice 418
Hracholusky 491
Nemochovice 284
Lovcovice 62
Kolovec 984
Hlohova 251
Kubova Hut 100
Jilove u Drzkova 204
Nova Pec 618
Hlavnovice 504
Pravice 322
Opatovice Predni 105
Jickovice 104
Manovice 45
Chlumany 292

Cesky Krumlov 14146
Hrusov 189
Rudimov 242
Stare Hradiste 1219
Kasperske Hory 1562
Dolni Zahori 737
Kosova Hora 1188
Cizova 907
Vevcice 77
Branice 303
Hybralec 390
Plese 180
Cestice 944
Bernartice 1260
Vortova 251
Oracov 375
Kosor 714
Hostetin 232
Karlstejn 705
Vinarice 1739
Dobrin 488

Decin 52058
Slatina nad Zdobnici 816
Tetin 742
Tisem 193
Obristvi 981
Tismice 383
Nemiz 33
Cineves 480
Teleci 407
Urcice 1305
Velenice 203
Krinice 353
Ohrazenice 1055
Zercice 312
Branzez 213
Brniste 1358
Zitenice 1407
Lesnice 593
Dubnice 529

Ceska Kamenice 5475
Daskabat 589
Ratenice 513
Zlata Olesnice 522
Lodenice 1564
Obecnice 1174
Techobuz 116
Druztova 647
Trusnov 224
Novy Knin 1779
Minice 35
Milec 338
Ledce 680
Bolesiny 661

Strasice 2442
Pstruzi 756
Zbozicko 180
Tvarozna 1159
Svata 347
Cakova 300
Pavlikov 1013
Patek 520
Stebno 436
Krenov 430
Velen 780
Lesany 575
Chotoviny 1578
Chocerady 986
Vrchovany 95
Horni Jelcany 1
Schorov 69
Horni Radoun 257
Radkova Lhota 199
Horni Radslavice 92
Mladosovice 263
Okrouhla Radoun 171
Tousice 279
Opatov 1124
Ratbor 517
Krivoklat 676

Kralupy nad Vltavou 17373
Klapy 530
Valasska Senice 486
Velka Dobra 1264
Dolni Brezany 1790
Chotysany 463
Klasterska Lhota 185

Hluboka nad Vltavou 4682

Tabor 36264
Trebonin 128
Borkovice 237
Brambory 106
Dobrna 420
Zabrdi 57
Zbraslav 1211
Briza 369
Okrisky 2016
Zakrany 733
Krenovice 1738
Detkovice 462
Petrikov 351
Lelekovice 1476
Bosovice 1071
Horni Bojanovice 598
Dyjakovice 836
Nebovidy 497
Hrotovice 1780
Neratov 97
Stolany 358
Sviny 320
Strasin 358
Chvalsiny 1159
Horany 82
Horni Nemcice 91
Dvory nad Luznici 318
Kninice 200
Luzenicky 300

Lednice 2355
Jedli 707
Baliny 116
Krakovany 768
Vranov 878
Nova Olesna 95

Polna 5006
Vinare 230
Vsekary 84
Sedlec 1098
Ostredek 313
Rendejov 252

Hradec Kralove 95195
Radslavice 1110
Senorady 396
Dymokury 779
Knezmost 1470
Plane 264
Nemotice 346

Hostinne 4795
Ostrolovsky Ujezd 110
Bystrec 1084
Mestecko Trnavka 1502
Kamenna Horka 291
Samsina 238
Vetrusice 388
Strancice 1505
Kostice 1864
Lipoltice 361
Boleradice 867
Omlenice 446
Domanin 1020
Sany 466
Bujanov 559
Velky Ujezd 1068
Zaky 349
Male Vykleky 138
Rudolec 208
Ostruzna 156
Kostomlaty pod Ripem 446

Uhersky Ostroh 4526
Malhostovice 834
Vrbova Lhota 377
Kostelec u Holesova 971
Lhota u Vsetina 744
Stara Voda 475
Svor 637
Vysoke Chvojno 352

Rokytnice v Orlickych Horach 2463
Horka 395
Cesky Sternberk 147
Rabstejnska Lhota 633
Pusta Kamenice 333
Novy Kramolin 237
Vanov 90
Novy Prerov 319
Kulirov 217
Libechov 973
Chraberce 138
Sebecice 65
Svebohov 440
Petrohrad 678
Strazek 927

Nejdek 8565
Usilne 335
Dolni Lazany 137
Lazne Kynzvart 1647
Drazenov 394
Dresin 261
Sendraz 91
Drhovle 511
Drazicky 76
Blazejov 301
Zeletava 1573
Bozejov 669
Zborovy 139
Pravy 87
Slavicky 210
Lechovice 424
Banovice 111
Kozichovice 380
Tuchorice 707
Zachotin 223
Jinacovice 558
Bukovina u Ciste 186
Budisov 1168
